#z     rhoz(avg_xy)
0.920   1.000   
2.760   1.000   
4.600   1.000   
6.440   1.000   
8.280   1.000   
10.120  1.000   
11.960  1.000   
13.800  1.000   
15.640  1.000   
17.480  1.000   
19.320  1.000   
21.160  1.000   
23.000  1.000   
24.840  1.000   
26.680  1.000   
28.520  1.000   
30.360  1.000   
32.200  1.000   
34.040  1.000   
35.880  1.000   
37.720  1.000   
39.560  1.000   
41.400  1.000   
43.240  1.000   
45.080  1.000   
46.920  1.000   
48.760  1.000   
50.600  1.000   
52.440  1.000   
54.280  1.000   
